LAT,LON,RH2M
2.0,-76.875,82.07817518248174
2.0,-76.25,86.94548357664233
2.0,-75.625,85.37840328467153
2.0,-75.0,80.51665145985402
2.0,-74.375,80.73529197080292
2.0,-73.75,88.90160583941606
2.0,-73.125,88.87300182481752
2.0,-72.5,91.15682481751826
2.0,-71.875,91.28578467153285
2.0,-71.25,91.13116788321167
2.0,-70.625,91.44165145985401
2.0,-70.0,91.44422445255474
2.5,-76.875,83.15895072992701
2.5,-76.25,85.09382299270074
2.5,-75.625,80.69492700729927
2.5,-75.0,84.1109397810219
2.5,-74.375,83.88159671532847
2.5,-73.75,89.49898722627738
2.5,-73.125,88.93622262773724
2.5,-72.5,90.57988138686132
2.5,-71.875,90.93894160583942
2.5,-71.25,91.29889598540146
2.5,-70.625,90.95385948905108
2.5,-70.0,91.53866788321169
3.0,-76.875,83.71173357664233
3.0,-76.25,83.59326642335766
3.0,-75.625,77.22464416058395
3.0,-75.0,79.21964416058394
3.0,-74.375,86.35712591240876
3.0,-73.75,88.93798357664234
3.0,-73.125,88.16966240875912
3.0,-72.5,87.6796897810219
3.0,-71.875,88.6870802919708
3.0,-71.25,90.60445255474453
3.0,-70.625,91.21339416058395
3.0,-70.0,91.39064781021898
3.5,-76.875,87.01071167883212
3.5,-76.25,84.79001824817519
3.5,-75.625,79.5177189781022
3.5,-75.0,70.15734489051094
3.5,-74.375,87.29482664233576
3.5,-73.75,88.35709854014598
3.5,-73.125,86.10006386861313
3.5,-72.5,84.67043795620438
3.5,-71.875,85.98010948905109
3.5,-71.25,88.45990875912409
3.5,-70.625,90.43521897810218
3.5,-70.0,90.5631295620438
4.0,-76.875,88.88279197080291
4.0,-76.25,85.69648722627738
4.0,-75.625,83.81001824817518
4.0,-75.0,69.49775547445255
4.0,-74.375,83.35974452554744
4.0,-73.75,88.25749087591241
4.0,-73.125,84.24263686131387
4.0,-72.5,83.0340693430657
4.0,-71.875,84.00778284671533
4.0,-71.25,84.74814781021898
4.0,-70.625,85.66867700729927
4.0,-70.0,86.04955291970802
4.5,-76.875,91.42813868613139
4.5,-76.25,86.12467153284672
4.5,-75.625,86.99312043795621
4.5,-75.0,77.6190602189781
4.5,-74.375,79.35345802919709
4.5,-73.75,87.86830291970803
4.5,-73.125,83.3159397810219
4.5,-72.5,80.82848540145986
4.5,-71.875,82.0023905109489
4.5,-71.25,81.5801003649635
4.5,-70.625,80.4219799270073
4.5,-70.0,79.83293795620438
5.0,-77.5,87.27538321167884
5.0,-76.875,93.12049270072993
